time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.082350058789271e-08,2.1458516068613966e-07,10.005638709808494,0.00019429922181579684,6.28277066452814,0.0,1.5345875558424485e-05,1.9110997271662913e-05,0.18794404223218955,0.009035097935319258,-0.026651683098600006,0.0,464.70613672127104,462.61273852021554,463.9163760550118,464.6250865460615
0.12000000000000001,1.622019771302432e-05,7.782288658923725e-06,10.02107039447702,0.0007277926647821786,6.281326041159364,0.0,0.0006904431874734049,0.0002910646740843308,0.32641516337894416,0.008602915923294584,-0.01937022915012742,0.0,449.17317106935064,449.76311348408314,448.5363940040632,448.5011784782048
0.18,0.00010209381462476361,4.2931317172613504e-05,10.0445880293784,0.000990128147041247,6.27964706619305,0.0,0.0023107749216134408,0.0009238805644307901,0.4574616611164296,-0.005824105032881276,-0.05700930510357303,0.0,448.16392094444745,445.0941254745573,447.5059390297942,446.33017770358333
0.23999999999999996,0.00035241251694038663,0.00012312647712719944,10.081255326826582,0.00037613556133830883,6.2765428998161585,0.0,0.006463180714404574,0.0016877682877813034,0.7646253505896277,-0.02096078024866099,-0.04286122710498356,0.0,498.04279441796984,499.07488533910816,499.1584243416698,498.0528736791147
0.3,0.0008764374495631269,0.00022718589796950634,10.128680796312032,6.282358035812184,6.274413611613124,0.0,0.011224085658365949,0.0016642338397281867,0.8161862408395928,-0.018307606309951114,-0.02377929851979947,0.0,420.8993019072052,422.5465850998015,421.8992212543816,422.1282062637552
0.36000000000000004,0.0017457304472543015,0.0003045976030141822,10.181705228978933,6.281159596239938,6.273285006852934,0.0,0.01788675229273788,0.0007934119350816069,0.9511904095037597,-0.023534102405571418,-0.010370621164765344,0.0,448.1416122851001,449.2300897007599,448.6719457786784,448.24750168279667
0.4200000000000001,0.0031070005536602526,0.00028625977993499807,10.249918793208984,6.279664110707703,6.2729293030083575,0.0,0.02755312505807723,-0.0016102430009272445,1.3222408356819269,-0.027861803595205112,0.0017351748002063464,0.0,515.4573883583363,516.3121729161782,517.7241082291939,517.4195576878841
0.48000000000000015,0.0049609288099428115,0.00011454729248532734,10.331226554866957,6.2781138649720205,6.273261221593344,0.0,0.034221631406548866,-0.004269077399261959,1.3879396862489535,-0.022068874940332005,0.012211303755941202,0.0,426.5096013114814,427.40322864445056,428.0968197504233,428.58924742130284
0.5400000000000001,0.0072282526557957616,-0.00025832904741251555,10.418783060736827,6.276547077598966,6.274526619342174,0.0,0.041241285967607504,-0.008314004393741192,1.5304306588321372,-0.0357630611497146,0.03465018996218924,0.0,451.2248418730964,453.0325068145563,452.601030022585,451.49748120044103
0.6000000000000002,0.009842900849885618,-0.0008765170923459802,10.509906432044412,6.274297932307018,6.27671987695485,0.0,0.045734718131314335,-0.012476306348703205,1.5070463985812408,-0.041174251611888785,0.0401129471563152,0.0,397.5413086625098,398.0422880450627,398.9653924617179,398.47021598864774
0.6600000000000003,0.012716876045713497,-0.0018275080736761015,10.60433729441121,6.27140839916752,6.279528656382261,0.0,0.0497816188252765,-0.01950177910261063,1.6404658499233196,-0.06821521293387803,0.0576472720644177,0.0,449.04554189279935,450.46680110186895,450.5719326193301,448.3790315749818
0.7200000000000003,0.01576415601950759,-0.003249755786535366,10.705215571890834,6.267171188501933,6.282506108129745,0.0,0.05146522770289933,-0.028317941667254015,1.7220193838461761,-0.07592232865221951,0.02434102442966812,0.0,434.63368346845135,431.8349144274024,434.46763270635284,433.8170419663083
0.7800000000000004,0.018859290328039745,-0.0052519316183624615,10.808873423050668,6.262913102471952,0.000824910086923758,0.0,0.051574086064937144,-0.03881120474402958,1.7332183891419604,-0.06255384631600319,0.026484911652114376,0.0,410.42286454461384,410.61324699614073,410.48070747676036,411.6608707660412
0.8400000000000004,0.021933438995268912,-0.007958489511996403,10.913257323759867,6.259708821803159,0.002376892040251377,0.0,0.05075748426659799,-0.05171307490975868,1.7462180748345302,-0.0395299898968332,0.02459984154858513,0.0,411.45872545513026,411.292003590944,410.52356349132265,412.55901351447454
0.9000000000000005,0.02491835695032887,-0.01160662876010347,11.02317162959347,6.256947258818322,0.003817054696020783,0.0,0.048576352309380864,-0.07016825478019474,1.9173131469951208,-0.06400443844087755,0.022781026454865475,0.0,462.1351023842707,461.9917733984893,462.68893259075634,460.7568775828094
0.9600000000000005,0.02774463487838724,-0.01639756286595742,11.142097337335478,6.252996552114961,0.005566698046693297,0.0,0.045465567482941935,-0.08993747189206791,2.0466415254863564,-0.06980492583904574,0.03956954283718203,0.0,449.4370582659632,450.79585794070914,449.6011751468578,449.1278242603848
1.0200000000000005,0.030351021136196893,-0.02241478937069978,11.267282257919618,6.248622313683908,0.008669311482778497,0.0,0.04113665900454363,-0.11105502957817472,2.12602843101727,-0.07995717045396653,0.06884343714272546,0.0,432.92227197270995,435.37998135256737,435.3290321413878,434.4744372663185
1.0800000000000005,0.03261505404344912,-0.02984365555071417,11.398785848971679,6.244270299862347,0.012350931121620334,0.0,0.033908836888283764,-0.13704929849579137,2.257151545484914,-0.06076351520363886,0.03896173860782973,0.0,451.7297152464041,449.31620715459695,451.01199746592044,452.55533982859197
1.1400000000000006,0.03437712586315535,-0.03890770715374714,11.53778897502167,6.240655156450789,0.015204906114856698,0.0,0.02455366439458906,-0.16545670753073494,2.37602507721983,-0.059249685937131175,0.06079734467768191,0.0,446.7263785590547,448.5045684110124,448.19890112687943,448.31937628559825
